CID,NDVI,LST
3,0.240408,40.1166
3,0.258775,44.8848
3,0.244247,42.6767006
3,0.214926,43.1655006
3,0.190252,41.8837013
3,0.276956,40.707901
3,0.231123,43.2680016
3,0.253209,41.6529999
3,0.248254,46.1118011
3,0.253532,40.7112999
3,0.252704,46.5475998
3,0.243658,41.6206017
3,0.202359,41.7060013
3,0.251211,38.3153
3,0.260417,39.8568001
3,0.241802,39.3544006
3,0.247417,44.2387009
3,0.232491,41.0959015
3,0.235067,37.4984016
3,0.267264,42.8680992
3,0.21763,45.1820984
3,0.234166,41.3642006
3,0.21793,41.9897003
3,0.257051,42.5057983
3,0.254065,41.3009987
4,0.172779,52.4146996
4,0.206596,49.8750992
4,0.214202,44.0746994
4,0.178175,50.1655998
0,-0.0006753,37.2700005
0,0.167903,43.7671013
0,0.0075159,38.831501
0,-0.0592309,37.2700005
0,-0.0323374,37.2700005
0,0.255676,41.8973999
0,-0.0105915,37.2700005
0,-0.005755,37.2700005
0,-0.0155911,37.2700005
0,-0.0260379,37.2700005
0,0.0219342,42.8408012
0,0.168877,42.5503006
0,-0.0046974,37.2700005
0,-0.0176336,40.7967987
0,-0.004,37.2700005
0,-0.0027203,37.2700005
0,-0.0028216,37.2700005
0,-0.038569,37.2700005
0,0.117913,42.7313995
0,0.0586622,44.6352997
0,0.223604,44.9019012
0,0.032396,39.8227005
0,0.16612,38.0281982
0,-0.0047361,39.706501
0,0.134365,43.3193016
0,-0.0067981,37.2700005
0,0.0838645,42.232399
1,0.253646,46.3921013
1,0.190791,45.9870987
1,0.202777,49.2256012
1,0.239509,-9999
1,0.259753,46.7066002
1,0.275615,39.6927986
1,0.167917,47.8072014
1,0.261231,45.8538017
1,0.182202,51.6473007
1,0.327538,45.0863991
1,0.157741,50.8885002
1,0.185091,49.2341995
1,0.26926,45.7529984
1,0.306084,42.7793007
1,0.221819,-9999
1,0.267325,45.7392998
1,0.247381,44.0267982
1,0.279903,44.2798004
1,0.191135,49.8067017
1,0.187907,48.8599014
1,0.129882,46.5424995
1,0.190455,46.5049019
1,0.207479,47.6293983
1,0.233414,45.5956993
1,0.170366,45.8111
1,0.212732,49.7144012
1,0.156739,51.2832985
1,0.183493,52.3462982
1,0.174646,49.1128998
1,0.237388,48.4737015
1,0.201814,49.4580994
1,0.144374,49.9332008
1,0.19393,49.3400993
1,0.259668,45.0761986
1,0.274897,-9999
2,0.190561,52.9359016
2,0.245277,44.4233017
2,0.26763,51.6080017
2,0.19771,-9999
2,0.224354,-9999
2,0.23406,45.0181007
2,0.223786,42.7280006
2,0.292146,45.7324982
2,0.219181,45.6743011
2,0.206571,50.2545013
2,0.211101,51.021801
2,0.280197,49.157299
2,0.182813,50.2817993
2,0.254792,46.3527985
2,0.249981,49.2341995
2,0.245854,48.1694984
2,0.261893,48.4258003
2,0.218692,-9999
3,0.287207,42.2666016
3,0.226662,43.6815987
3,0.231982,46.0503006
3,0.232856,40.9916
3,0.248404,42.8116989
3,0.222934,44.0643997
3,0.281837,45.9375
3,0.232564,41.0959015
3,0.233655,44.471199
3,0.318984,42.8408012
3,0.323502,44.0063019
3,0.272597,45.0163994
3,0.259125,47.5269012
3,0.255642,44.1328011
3,0.24656,45.294899
3,0.251943,40.8156013
3,0.261583,48.3266983
3,0.253319,43.7363014
3,0.29895,44.2831993
3,0.229625,46.7953987
